"Tarih","Saat","PTF (TL/MWh)"
"01/01/2016","00:00","89,42"
"01/01/2016","01:00","89,64"
"01/01/2016","02:00","69,63"
"01/01/2016","03:00","44,04"
"01/01/2016","04:00","17,62"
"01/01/2016","05:00","27,63"
"01/01/2016","06:00","56,88"
"01/01/2016","07:00","36,29"
"01/01/2016","08:00","62,80"
"01/01/2016","09:00","118,08"
"01/01/2016","10:00","90,81"
"01/01/2016","11:00","107,36"
"01/01/2016","12:00","116,89"
"01/01/2016","13:00","119,96"
"01/01/2016","14:00","125,05"
"01/01/2016","15:00","125,09"
"01/01/2016","16:00","199,99"
"01/01/2016","17:00","210,00"
"01/01/2016","18:00","196,13"
"01/01/2016","19:00","199,99"
"01/01/2016","20:00","172,54"
"01/01/2016","21:00","125,07"
"01/01/2016","22:00","114,00"
"01/01/2016","23:00","92,52"
"02/01/2016","00:00","199,99"
"02/01/2016","01:00","119,99"
"02/01/2016","02:00","91,49"
"02/01/2016","03:00","88,58"
"02/01/2016","04:00","68,87"
"02/01/2016","05:00","76,91"
"02/01/2016","06:00","87,55"
"02/01/2016","07:00","118,07"
"02/01/2016","08:00","128,99"
"02/01/2016","09:00","179,91"
"02/01/2016","10:00","189,96"
"02/01/2016","11:00","200,00"
"02/01/2016","12:00","172,54"
"02/01/2016","13:00","179,06"
"02/01/2016","14:00","179,06"
"02/01/2016","15:00","160,00"
"02/01/2016","16:00","191,12"
"02/01/2016","17:00","204,99"
"02/01/2016","18:00","199,92"
"02/01/2016","19:00","172,54"
"02/01/2016","20:00","129,00"
"02/01/2016","21:00","118,08"
"02/01/2016","22:00","113,96"
"02/01/2016","23:00","108,21"
"03/01/2016","00:00","209,99"
"03/01/2016","01:00","133,21"
"03/01/2016","02:00","110,27"
"03/01/2016","03:00","85,02"
"03/01/2016","04:00","70,00"
"03/01/2016","05:00","77,28"
"03/01/2016","06:00","64,10"
"03/01/2016","07:00","58,91"
"03/01/2016","08:00","107,00"
"03/01/2016","09:00","118,08"
"03/01/2016","10:00","118,08"
"03/01/2016","11:00","123,96"
"03/01/2016","12:00","118,08"
"03/01/2016","13:00","118,08"
"03/01/2016","14:00","113,33"
"03/01/2016","15:00","111,89"
"03/01/2016","16:00","129,00"
"03/01/2016","17:00","172,15"
"03/01/2016","18:00","198,93"
"03/01/2016","19:00","195,00"
"03/01/2016","20:00","202,54"
"03/01/2016","21:00","194,99"
"03/01/2016","22:00","184,67"
"03/01/2016","23:00","118,08"
"04/01/2016","00:00","119,96"
"04/01/2016","01:00","84,96"
"04/01/2016","02:00","63,26"
"04/01/2016","03:00","48,91"
"04/01/2016","04:00","50,57"
"04/01/2016","05:00","69,50"
"04/01/2016","06:00","106,92"
"04/01/2016","07:00","125,07"
"04/01/2016","08:00","107,38"
"04/01/2016","09:00","194,91"
"04/01/2016","10:00","195,01"
"04/01/2016","11:00","227,08"
"04/01/2016","12:00","172,54"
"04/01/2016","13:00","194,96"
"04/01/2016","14:00","199,99"
"04/01/2016","15:00","199,99"
"04/01/2016","16:00","228,07"
"04/01/2016","17:00","227,45"
"04/01/2016","18:00","200,00"
"04/01/2016","19:00","189,99"
"04/01/2016","20:00","172,54"
"04/01/2016","21:00","160,00"
"04/01/2016","22:00","119,96"
"04/01/2016","23:00","100,56"
"05/01/2016","00:00","134,99"
"05/01/2016","01:00","119,62"
"05/01/2016","02:00","92,56"
"05/01/2016","03:00","74,09"
"05/01/2016","04:00","69,99"
"05/01/2016","05:00","79,19"
"05/01/2016","06:00","103,33"
"05/01/2016","07:00","125,06"
"05/01/2016","08:00","200,00"
"05/01/2016","09:00","172,54"
"05/01/2016","10:00","172,55"
"05/01/2016","11:00","204,92"
"05/01/2016","12:00","172,55"
"05/01/2016","13:00","200,00"
"05/01/2016","14:00","200,00"
"05/01/2016","15:00","215,61"
"05/01/2016","16:00","227,02"
"05/01/2016","17:00","224,99"
"05/01/2016","18:00","195,00"
"05/01/2016","19:00","195,01"
"05/01/2016","20:00","171,16"
"05/01/2016","21:00","165,08"
"05/01/2016","22:00","152,22"
"05/01/2016","23:00","119,95"
"06/01/2016","00:00","131,74"
"06/01/2016","01:00","106,24"
"06/01/2016","02:00","95,58"
"06/01/2016","03:00","81,06"
"06/01/2016","04:00","71,49"
"06/01/2016","05:00","85,06"
"06/01/2016","06:00","104,93"
"06/01/2016","07:00","119,94"
"06/01/2016","08:00","100,09"
"06/01/2016","09:00","189,68"
"06/01/2016","10:00","172,55"
"06/01/2016","11:00","194,87"
"06/01/2016","12:00","128,99"
"06/01/2016","13:00","120,02"
"06/01/2016","14:00","125,89"
