"Tarih","Saat","SMF (TL/MWh)"
"01/01/2016","00:00","88,47"
"01/01/2016","01:00","89,64"
"01/01/2016","02:00","69,63"
"01/01/2016","03:00","44,03"
"01/01/2016","04:00","17,59"
"01/01/2016","05:00","27,60"
"01/01/2016","06:00","56,86"
"01/01/2016","07:00","36,27"
"01/01/2016","08:00","60,00"
"01/01/2016","09:00","96,00"
"01/01/2016","10:00","160,00"
"01/01/2016","11:00","203,16"
"01/01/2016","12:00","209,16"
"01/01/2016","13:00","230,00"
"01/01/2016","14:00","230,00"
"01/01/2016","15:00","200,00"
"01/01/2016","16:00","170,00"
"01/01/2016","17:00","226,50"
"01/01/2016","18:00","230,00"
"01/01/2016","19:00","190,00"
"01/01/2016","20:00","175,00"
"01/01/2016","21:00","200,00"
"01/01/2016","22:00","200,00"
"01/01/2016","23:00","195,00"
"02/01/2016","00:00","59,98"
"02/01/2016","01:00","59,95"
"02/01/2016","02:00","59,95"
"02/01/2016","03:00","59,94"
"02/01/2016","04:00","59,95"
"02/01/2016","05:00","59,96"
"02/01/2016","06:00","59,96"
"02/01/2016","07:00","59,92"
"02/01/2016","08:00","59,93"
"02/01/2016","09:00","60,00"
"02/01/2016","10:00","72,06"
"02/01/2016","11:00","95,00"
"02/01/2016","12:00","77,00"
"02/01/2016","13:00","73,20"
"02/01/2016","14:00","95,00"
"02/01/2016","15:00","95,00"
"02/01/2016","16:00","96,00"
"02/01/2016","17:00","204,99"
"02/01/2016","18:00","199,92"
"02/01/2016","19:00","172,54"
"02/01/2016","20:00","60,00"
"02/01/2016","21:00","96,00"
"02/01/2016","22:00","113,96"
"02/01/2016","23:00","95,00"
"03/01/2016","00:00","165,00"
"03/01/2016","01:00","96,00"
"03/01/2016","02:00","96,00"
"03/01/2016","03:00","84,00"
"03/01/2016","04:00","69,04"
"03/01/2016","05:00","70,00"
"03/01/2016","06:00","64,10"
"03/01/2016","07:00","58,91"
"03/01/2016","08:00","60,00"
"03/01/2016","09:00","60,00"
"03/01/2016","10:00","155,00"
"03/01/2016","11:00","200,00"
"03/01/2016","12:00","203,16"
"03/01/2016","13:00","210,00"
"03/01/2016","14:00","224,00"
"03/01/2016","15:00","210,00"
"03/01/2016","16:00","129,00"
"03/01/2016","17:00","204,00"
"03/01/2016","18:00","200,00"
"03/01/2016","19:00","200,00"
"03/01/2016","20:00","202,54"
"03/01/2016","21:00","194,99"
"03/01/2016","22:00","157,00"
"03/01/2016","23:00","118,08"
"04/01/2016","00:00","60,00"
"04/01/2016","01:00","60,00"
"04/01/2016","02:00","60,00"
"04/01/2016","03:00","48,89"
"04/01/2016","04:00","50,57"
"04/01/2016","05:00","69,00"
"04/01/2016","06:00","106,92"
"04/01/2016","07:00","110,00"
"04/01/2016","08:00","230,00"
"04/01/2016","09:00","255,00"
"04/01/2016","10:00","250,00"
"04/01/2016","11:00","260,00"
"04/01/2016","12:00","265,00"
"04/01/2016","13:00","265,00"
"04/01/2016","14:00","265,50"
"04/01/2016","15:00","265,01"
"04/01/2016","16:00","265,66"
"04/01/2016","17:00","265,60"
"04/01/2016","18:00","234,00"
"04/01/2016","19:00","219,90"
"04/01/2016","20:00","130,00"
"04/01/2016","21:00","95,00"
"04/01/2016","22:00","95,00"
"04/01/2016","23:00","75,01"
"05/01/2016","00:00","83,00"
"05/01/2016","01:00","59,98"
"05/01/2016","02:00","59,99"
"05/01/2016","03:00","59,99"
"05/01/2016","04:00","60,00"
"05/01/2016","05:00","60,00"
"05/01/2016","06:00","60,00"
"05/01/2016","07:00","59,97"
"05/01/2016","08:00","88,08"
"05/01/2016","09:00","219,50"
"05/01/2016","10:00","229,98"
"05/01/2016","11:00","229,98"
"05/01/2016","12:00","212,00"
"05/01/2016","13:00","229,98"
"05/01/2016","14:00","225,00"
"05/01/2016","15:00","219,99"
"05/01/2016","16:00","125,00"
"05/01/2016","17:00","110,00"
"05/01/2016","18:00","91,22"
"05/01/2016","19:00","87,10"
"05/01/2016","20:00","63,07"
"05/01/2016","21:00","59,98"
"05/01/2016","22:00","59,97"
"05/01/2016","23:00","59,99"
"06/01/2016","00:00","60,00"
"06/01/2016","01:00","100,00"
"06/01/2016","02:00","60,11"
"06/01/2016","03:00","59,98"
"06/01/2016","04:00","59,97"
"06/01/2016","05:00","59,96"
"06/01/2016","06:00","59,99"
"06/01/2016","07:00","59,99"
"06/01/2016","08:00","100,00"
"06/01/2016","09:00","100,00"
"06/01/2016","10:00","83,00"
"06/01/2016","11:00","86,06"
"06/01/2016","12:00","59,98"
"06/01/2016","13:00","59,96"
"06/01/2016","14:00","59,97"
"06/01/2016","15:00","59,96"
"06/01/2016","16:00","80,06"
"06/01/2016","17:00","88,20"
"06/01/2016","18:00","59,94"
"06/01/2016","19:00","59,93"
"06/01/2016","20:00","59,97"
"06/01/2016","21:00","59,96"
"06/01/2016","22:00","59,95"
"06/01/2016","23:00","59,97"
"07/01/2016","00:00","100,00"
"07/01/2016","01:00","60,00"
"07/01/2016","02:00","59,98"
"07/01/2016","03:00","49,47"
"07/01/2016","04:00","49,22"
"07/01/2016","05:00","60,00"
"07/01/2016","06:00","60,00"
"07/01/2016","07:00","59,99"
"07/01/2016","08:00","100,00"
"07/01/2016","09:00","90,00"
"07/01/2016","10:00","96,01"
"07/01/2016","11:00","209,16"
"07/01/2016","12:00","120,00"
"07/01/2016","13:00","177,27"
"07/01/2016","14:00","217,00"
"07/01/2016","15:00","217,00"
"07/01/2016","16:00","115,00"
"07/01/2016","17:00","175,00"
"07/01/2016","18:00","106,14"
"07/01/2016","19:00","100,00"
"07/01/2016","20:00","96,01"
"07/01/2016","21:00","61,14"
"07/01/2016","22:00","68,10"
"07/01/2016","23:00","59,95"
"08/01/2016","00:00","59,96"
"08/01/2016","01:00","59,98"
"08/01/2016","02:00","59,99"
"08/01/2016","03:00","59,98"
"08/01/2016","04:00","59,99"
"08/01/2016","05:00","59,98"
"08/01/2016","06:00","59,97"
"08/01/2016","07:00","59,97"
"08/01/2016","08:00","92,14"
"08/01/2016","09:00","96,06"
"08/01/2016","10:00","101,14"
"08/01/2016","11:00","102,00"
"08/01/2016","12:00","59,96"
"08/01/2016","13:00","71,55"
"08/01/2016","14:00","95,00"
"08/01/2016","15:00","86,55"
"08/01/2016","16:00","99,55"
"08/01/2016","17:00","102,00"
"08/01/2016","18:00","65,00"
"08/01/2016","19:00","74,07"
"08/01/2016","20:00","59,98"
"08/01/2016","21:00","59,98"
"08/01/2016","22:00","94,00"
"08/01/2016","23:00","97,00"
"09/01/2016","00:00","80,00"
"09/01/2016","01:00","100,00"
"09/01/2016","02:00","95,00"
"09/01/2016","03:00","80,00"
"09/01/2016","04:00","89,00"
"09/01/2016","05:00","83,95"
"09/01/2016","06:00","81,59"
"09/01/2016","07:00","95,00"
"09/01/2016","08:00","100,00"
"09/01/2016","09:00","96,01"
"09/01/2016","10:00","96,01"
"09/01/2016","11:00","110,13"
"09/01/2016","12:00","95,00"
"09/01/2016","13:00","64,07"
"09/01/2016","14:00","59,97"
"09/01/2016","15:00","59,95"
"09/01/2016","16:00","59,98"
"09/01/2016","17:00","61,08"
"09/01/2016","18:00","71,08"
"09/01/2016","19:00","59,98"
"09/01/2016","20:00","59,98"
"09/01/2016","21:00","59,99"
"09/01/2016","22:00","60,13"
"09/01/2016","23:00","95,00"
"10/01/2016","00:00","165,00"
"10/01/2016","01:00","194,98"
"10/01/2016","02:00","194,98"
"10/01/2016","03:00","80,07"
"10/01/2016","04:00","17,20"
"10/01/2016","05:00","10,10"
"10/01/2016","06:00","10,02"
"10/01/2016","07:00","0,00"
"10/01/2016","08:00","34,02"
"10/01/2016","09:00","120,00"
"10/01/2016","10:00","95,00"
"10/01/2016","11:00","129,00"
"10/01/2016","12:00","165,00"
"10/01/2016","13:00","94,00"
"10/01/2016","14:00","94,00"
"10/01/2016","15:00","80,00"
"10/01/2016","16:00","95,00"
"10/01/2016","17:00","200,00"
"10/01/2016","18:00","203,16"
"10/01/2016","19:00","96,11"
"10/01/2016","20:00","95,00"
"10/01/2016","21:00","165,00"
"10/01/2016","22:00","165,00"
"10/01/2016","23:00","100,00"
"11/01/2016","00:00","120,00"
"11/01/2016","01:00","95,00"
"11/01/2016","02:00","79,05"
"11/01/2016","03:00","78,98"
"11/01/2016","04:00","79,91"
"11/01/2016","05:00","94,98"
"11/01/2016","06:00","165,00"
"11/01/2016","07:00","156,00"
"11/01/2016","08:00","165,00"
"11/01/2016","09:00","165,00"
"11/01/2016","10:00","94,00"
"11/01/2016","11:00","120,00"
"11/01/2016","12:00","80,00"
"11/01/2016","13:00","80,00"
"11/01/2016","14:00","80,00"
"11/01/2016","15:00","60,00"
"11/01/2016","16:00","71,15"
"11/01/2016","17:00","81,15"
"11/01/2016","18:00","75,01"
"11/01/2016","19:00","65,01"
"11/01/2016","20:00","80,00"
"11/01/2016","21:00","65,01"
"11/01/2016","22:00","94,00"
"11/01/2016","23:00","94,00"
"12/01/2016","00:00","95,00"
"12/01/2016","01:00","94,00"
"12/01/2016","02:00","94,00"
"12/01/2016","03:00","88,73"
"12/01/2016","04:00","69,04"
"12/01/2016","05:00","79,90"
"12/01/2016","06:00","140,00"
"12/01/2016","07:00","128,00"
"12/01/2016","08:00","189,98"
"12/01/2016","09:00","172,16"
"12/01/2016","10:00","120,01"
"12/01/2016","11:00","170,00"
"12/01/2016","12:00","95,00"
"12/01/2016","13:00","100,00"
"12/01/2016","14:00","128,00"
"12/01/2016","15:00","95,00"
"12/01/2016","16:00","95,00"
"12/01/2016","17:00","100,00"
"12/01/2016","18:00","124,97"
"12/01/2016","19:00","124,98"
"12/01/2016","20:00","132,94"
"12/01/2016","21:00","119,99"
"12/01/2016","22:00","100,00"
"12/01/2016","23:00","97,51"
"13/01/2016","00:00","119,99"
"13/01/2016","01:00","100,05"
"13/01/2016","02:00","120,00"
"13/01/2016","03:00","22,14"
"13/01/2016","04:00","32,60"
"13/01/2016","05:00","69,06"
"13/01/2016","06:00","142,00"
"13/01/2016","07:00","155,00"
"13/01/2016","08:00","179,98"
"13/01/2016","09:00","225,00"
"13/01/2016","10:00","215,16"
"13/01/2016","11:00","218,00"
"13/01/2016","12:00","200,00"
"13/01/2016","13:00","210,00"
"13/01/2016","14:00","179,98"
"13/01/2016","15:00","179,80"
"13/01/2016","16:00","210,00"
"13/01/2016","17:00","210,00"
"13/01/2016","18:00","156,36"
"13/01/2016","19:00","119,96"
"13/01/2016","20:00","119,95"
"13/01/2016","21:00","108,13"
"13/01/2016","22:00","95,00"
"13/01/2016","23:00","119,95"
"14/01/2016","00:00","95,00"
"14/01/2016","01:00","120,00"
"14/01/2016","02:00","119,99"
"14/01/2016","03:00","170,00"
"14/01/2016","04:00","170,00"
"14/01/2016","05:00","119,99"
"14/01/2016","06:00","94,00"
"14/01/2016","07:00","120,00"
"14/01/2016","08:00","95,00"
"14/01/2016","09:00","94,00"
"14/01/2016","10:00","94,00"
"14/01/2016","11:00","94,00"
"14/01/2016","12:00","95,00"
"14/01/2016","13:00","94,00"
"14/01/2016","14:00","80,00"
"14/01/2016","15:00","80,00"
"14/01/2016","16:00","60,00"
"14/01/2016","17:00","95,00"
"14/01/2016","18:00","96,00"
"14/01/2016","19:00","115,35"
"14/01/2016","20:00","110,26"
"14/01/2016","21:00","190,00"
"14/01/2016","22:00","200,00"
"14/01/2016","23:00","190,00"
"15/01/2016","00:00","179,98"
"15/01/2016","01:00","179,98"
"15/01/2016","02:00","160,00"
"15/01/2016","03:00","5,07"
"15/01/2016","04:00","160,00"
"15/01/2016","05:00","160,00"
"15/01/2016","06:00","179,98"
"15/01/2016","07:00","120,59"
"15/01/2016","08:00","121,00"
"15/01/2016","09:00","200,00"
"15/01/2016","10:00","96,00"
"15/01/2016","11:00","96,00"
"15/01/2016","12:00","59,99"
"15/01/2016","13:00","59,98"
"15/01/2016","14:00","60,00"
"15/01/2016","15:00","59,95"
"15/01/2016","16:00","59,96"
"15/01/2016","17:00","75,01"
"15/01/2016","18:00","59,99"
"15/01/2016","19:00","94,00"
"15/01/2016","20:00","94,00"
"15/01/2016","21:00","95,00"
"15/01/2016","22:00","95,00"
"15/01/2016","23:00","88,75"
"16/01/2016","00:00","80,00"
"16/01/2016","01:00","103,00"
"16/01/2016","02:00","79,00"
"16/01/2016","03:00","0,94"
"16/01/2016","04:00","0,30"
"16/01/2016","05:00","10,00"
"16/01/2016","06:00","0,71"
"16/01/2016","07:00","0,85"
"16/01/2016","08:00","87,19"
"16/01/2016","09:00","130,00"
"16/01/2016","10:00","135,00"
"16/01/2016","11:00","206,00"
"16/01/2016","12:00","95,00"
"16/01/2016","13:00","95,00"
"16/01/2016","14:00","95,00"
"16/01/2016","15:00","95,00"
"16/01/2016","16:00","80,00"
"16/01/2016","17:00","95,00"
"16/01/2016","18:00","119,80"
"16/01/2016","19:00","95,00"
"16/01/2016","20:00","95,00"
"16/01/2016","21:00","60,07"
"16/01/2016","22:00","80,00"
"16/01/2016","23:00","85,66"
"17/01/2016","00:00","80,00"
"17/01/2016","01:00","145,00"
"17/01/2016","02:00","10,01"
"17/01/2016","03:00","0,13"
"17/01/2016","04:00","0,00"
"17/01/2016","05:00","0,00"
"17/01/2016","06:00","0,00"
"17/01/2016","07:00","0,00"
"17/01/2016","08:00","0,17"
"17/01/2016","09:00","8,00"
"17/01/2016","10:00","41,62"
"17/01/2016","11:00","70,00"
"17/01/2016","12:00","73,00"
"17/01/2016","13:00","80,00"
