"Tarih","Saat","Yük Tahmin Planý (MWh)"
"01/01/2016","00:00","0,00"
"01/01/2016","01:00","0,00"
"01/01/2016","02:00","0,00"
"01/01/2016","03:00","0,00"
"01/01/2016","04:00","0,00"
"01/01/2016","05:00","0,00"
"01/01/2016","06:00","0,00"
"01/01/2016","07:00","0,00"
"01/01/2016","08:00","0,00"
"01/01/2016","09:00","0,00"
"01/01/2016","10:00","0,00"
"01/01/2016","11:00","0,00"
"01/01/2016","12:00","0,00"
"01/01/2016","13:00","0,00"
"01/01/2016","14:00","0,00"
"01/01/2016","15:00","0,00"
"01/01/2016","16:00","0,00"
"01/01/2016","17:00","0,00"
"01/01/2016","18:00","0,00"
"01/01/2016","19:00","0,00"
"01/01/2016","20:00","0,00"
"01/01/2016","21:00","0,00"
"01/01/2016","22:00","0,00"
"01/01/2016","23:00","0,00"
"02/01/2016","00:00","25.800,00"
"02/01/2016","01:00","24.100,00"
"02/01/2016","02:00","22.600,00"
"02/01/2016","03:00","22.100,00"
"02/01/2016","04:00","22.000,00"
"02/01/2016","05:00","22.300,00"
"02/01/2016","06:00","22.700,00"
"02/01/2016","07:00","22.900,00"
"02/01/2016","08:00","26.300,00"
"02/01/2016","09:00","29.600,00"
"02/01/2016","10:00","30.900,00"
"02/01/2016","11:00","32.000,00"
"02/01/2016","12:00","30.900,00"
"02/01/2016","13:00","30.800,00"
"02/01/2016","14:00","30.600,00"
"02/01/2016","15:00","30.300,00"
"02/01/2016","16:00","31.600,00"
"02/01/2016","17:00","32.500,00"
"02/01/2016","18:00","31.700,00"
"02/01/2016","19:00","30.600,00"
"02/01/2016","20:00","29.800,00"
"02/01/2016","21:00","29.000,00"
"02/01/2016","22:00","28.500,00"
"02/01/2016","23:00","27.400,00"
"03/01/2016","00:00","26.800,00"
"03/01/2016","01:00","23.600,00"
"03/01/2016","02:00","24.300,00"
"03/01/2016","03:00","23.300,00"
"03/01/2016","04:00","22.800,00"
"03/01/2016","05:00","23.200,00"
"03/01/2016","06:00","23.400,00"
"03/01/2016","07:00","23.100,00"
"03/01/2016","08:00","24.500,00"
"03/01/2016","09:00","27.500,00"
"03/01/2016","10:00","29.100,00"
"03/01/2016","11:00","30.100,00"
"03/01/2016","12:00","30.100,00"
"03/01/2016","13:00","30.300,00"
"03/01/2016","14:00","30.300,00"
"03/01/2016","15:00","30.400,00"
"03/01/2016","16:00","31.600,00"
"03/01/2016","17:00","32.800,00"
"03/01/2016","18:00","32.600,00"
"03/01/2016","19:00","32.400,00"
"03/01/2016","20:00","32.100,00"
"03/01/2016","21:00","29.700,00"
"03/01/2016","22:00","29.400,00"
"03/01/2016","23:00","28.000,00"
"04/01/2016","00:00","27.800,00"
"04/01/2016","01:00","26.200,00"
"04/01/2016","02:00","25.100,00"
"04/01/2016","03:00","24.700,00"
"04/01/2016","04:00","24.600,00"
"04/01/2016","05:00","25.200,00"
"04/01/2016","06:00","26.300,00"
"04/01/2016","07:00","28.300,00"
"04/01/2016","08:00","33.400,00"
"04/01/2016","09:00","36.500,00"
"04/01/2016","10:00","37.600,00"
"04/01/2016","11:00","38.100,00"
"04/01/2016","12:00","36.300,00"
"04/01/2016","13:00","36.700,00"
"04/01/2016","14:00","37.200,00"
"04/01/2016","15:00","36.900,00"
"04/01/2016","16:00","38.600,00"
"04/01/2016","17:00","39.200,00"
"04/01/2016","18:00","37.500,00"
"04/01/2016","19:00","36.100,00"
"04/01/2016","20:00","35.300,00"
"04/01/2016","21:00","34.300,00"
"04/01/2016","22:00","33.900,00"
"04/01/2016","23:00","32.200,00"
"05/01/2016","00:00","29.200,00"
"05/01/2016","01:00","27.500,00"
"05/01/2016","02:00","26.400,00"
"05/01/2016","03:00","26.000,00"
"05/01/2016","04:00","26.100,00"
"05/01/2016","05:00","26.600,00"
"05/01/2016","06:00","27.400,00"
"05/01/2016","07:00","28.200,00"
"05/01/2016","08:00","33.100,00"
"05/01/2016","09:00","36.500,00"
"05/01/2016","10:00","37.600,00"
"05/01/2016","11:00","38.600,00"
"05/01/2016","12:00","37.300,00"
"05/01/2016","13:00","38.100,00"
"05/01/2016","14:00","38.400,00"
"05/01/2016","15:00","38.300,00"
"05/01/2016","16:00","38.900,00"
"05/01/2016","17:00","39.200,00"
"05/01/2016","18:00","37.600,00"
"05/01/2016","19:00","37.100,00"
"05/01/2016","20:00","35.300,00"
"05/01/2016","21:00","34.300,00"
"05/01/2016","22:00","34.200,00"
"05/01/2016","23:00","32.100,00"
"06/01/2016","00:00","29.300,00"
"06/01/2016","01:00","27.500,00"
"06/01/2016","02:00","26.300,00"
"06/01/2016","03:00","25.900,00"
"06/01/2016","04:00","26.000,00"
"06/01/2016","05:00","26.200,00"
"06/01/2016","06:00","27.000,00"
"06/01/2016","07:00","28.400,00"
"06/01/2016","08:00","32.900,00"
"06/01/2016","09:00","35.800,00"
"06/01/2016","10:00","37.600,00"
"06/01/2016","11:00","38.600,00"
"06/01/2016","12:00","37.200,00"
"06/01/2016","13:00","37.800,00"
"06/01/2016","14:00","38.100,00"
"06/01/2016","15:00","37.900,00"
"06/01/2016","16:00","38.300,00"
"06/01/2016","17:00","38.500,00"
"06/01/2016","18:00","36.800,00"
"06/01/2016","19:00","35.500,00"
"06/01/2016","20:00","34.800,00"
"06/01/2016","21:00","33.700,00"
"06/01/2016","22:00","33.500,00"
"06/01/2016","23:00","31.400,00"
"07/01/2016","00:00","29.200,00"
"07/01/2016","01:00","27.500,00"
"07/01/2016","02:00","26.500,00"
"07/01/2016","03:00","25.600,00"
"07/01/2016","04:00","25.800,00"
"07/01/2016","05:00","25.900,00"
"07/01/2016","06:00","27.000,00"
"07/01/2016","07:00","28.400,00"
"07/01/2016","08:00","32.900,00"
"07/01/2016","09:00","36.200,00"
"07/01/2016","10:00","37.500,00"
"07/01/2016","11:00","37.700,00"
"07/01/2016","12:00","36.100,00"
"07/01/2016","13:00","37.100,00"
"07/01/2016","14:00","37.500,00"
"07/01/2016","15:00","37.800,00"
"07/01/2016","16:00","38.300,00"
"07/01/2016","17:00","38.400,00"
"07/01/2016","18:00","36.800,00"
"07/01/2016","19:00","35.300,00"
"07/01/2016","20:00","34.300,00"
"07/01/2016","21:00","33.400,00"
